"","year","dem_votes_major_percent","state","district","dem_status","dem_ad_share","dem_station_share"
"1",2020,35.57,"Alabama","1","Challenger",NA,NA
"2",2020,34.72,"Alabama","2","Challenger",NA,NA
"3",2020,32.49,"Alabama","3","Challenger",NA,NA
"4",2020,17.7,"Alabama","4","Challenger",NA,NA
"5",2020,100,"Alabama","7","Incumbent",NA,NA
"6",2020,45.42,"Alaska","0","Challenger",NA,NA
"7",2020,51.61,"Arizona","1","Incumbent",NA,NA
"8",2020,55.12,"Arizona","2","Incumbent",NA,NA
"9",2020,64.57,"Arizona","3","Incumbent",NA,NA
"10",2020,30.24,"Arizona","4","Challenger",NA,NA
"11",2020,41.11,"Arizona","5","Challenger",NA,NA
"12",2020,47.83,"Arizona","6","Challenger",NA,NA
"13",2020,76.71,"Arizona","7","Incumbent",NA,NA
"14",2020,40.15,"Arizona","8","Challenger",NA,NA
"15",2020,61.63,"Arizona","9","Incumbent",NA,NA
"16",2020,44.63,"Arkansas","2","Challenger",NA,NA
"17",2020,33.09,"Arkansas","3","Challenger",NA,NA
"18",2020,28.33,"Arkansas","4","Challenger",NA,NA
"19",2020,43.01,"California","1","Challenger",NA,NA
"20",2020,75.74,"California","2","Incumbent",NA,NA
"21",2020,54.67,"California","3","Incumbent",NA,NA
"22",2020,44.05,"California","4","Challenger",NA,NA
"23",2020,76.09,"California","5","Incumbent",NA,NA
"24",2020,73.34,"California","6","Incumbent",NA,NA
"25",2020,56.62,"California","7","Incumbent",NA,NA
"26",2020,43.94,"California","8","Challenger",NA,NA
"27",2020,57.58,"California","9","Incumbent",NA,NA
"28",2020,55.16,"California","10","Incumbent",NA,NA
"29",2020,72.99,"California","11","Incumbent",NA,NA
"30",2020,100,"California","12","Incumbent",NA,NA
"31",2020,90.37,"California","13","Incumbent",NA,NA
"32",2020,79.29,"California","14","Incumbent",NA,NA
"33",2020,70.9,"California","15","Incumbent",NA,NA
"34",2020,59.38,"California","16","Incumbent",NA,NA
"35",2020,71.35,"California","17","Incumbent",NA,NA
"36",2020,100,"California","18","Incumbent",NA,NA
"37",2020,71.68,"California","19","Incumbent",NA,NA
"38",2020,76.78,"California","20","Incumbent",NA,NA
"39",2020,49.55,"California","21","Incumbent",NA,NA
"40",2020,45.77,"California","22","Challenger",NA,NA
"41",2020,37.86,"California","23","Challenger",NA,NA
"42",2020,58.66,"California","24","Incumbent",NA,NA
"43",2020,49.95,"California","25","Challenger",NA,NA
"44",2020,60.58,"California","26","Incumbent",NA,NA
"45",2020,69.78,"California","27","Incumbent",NA,NA
"46",2020,72.66,"California","28","Incumbent",NA,NA
"47",2020,100,"California","29","Incumbent",NA,NA
"48",2020,69.48,"California","30","Incumbent",NA,NA
"49",2020,61.29,"California","31","Incumbent",NA,NA
"50",2020,66.58,"California","32","Incumbent",NA,NA
"51",2020,67.58,"California","33","Incumbent",NA,NA
"52",2020,100,"California","34","Incumbent",NA,NA
"53",2020,69.33,"California","35","Incumbent",NA,NA
"54",2020,60.34,"California","36","Incumbent",NA,NA
"55",2020,85.94,"California","37","Incumbent",NA,NA
"56",2020,100,"California","38","Incumbent",NA,NA
"57",2020,49.4,"California","39","Incumbent",NA,NA
"58",2020,72.74,"California","40","Incumbent",NA,NA
"59",2020,64.03,"California","41","Incumbent",NA,NA
"60",2020,42.87,"California","42","Challenger",NA,NA
"61",2020,71.68,"California","43","Incumbent",NA,NA
"62",2020,100,"California","44","Incumbent",NA,NA
"63",2020,53.46,"California","45","Incumbent",NA,NA
"64",2020,68.75,"California","46","Incumbent",NA,NA
"65",2020,63.27,"California","47","Incumbent",NA,NA
"66",2020,48.94,"California","48","Incumbent",NA,NA
"67",2020,53.13,"California","49","Incumbent",NA,NA
"68",2020,46.05,"California","50","Challenger",NA,NA
"69",2020,68.3,"California","51","Incumbent",NA,NA
"70",2020,61.58,"California","52","Incumbent",NA,NA
"71",2020,100,"California","53","Challenger",NA,NA
"72",2020,75.79,"Colorado","1","Incumbent",NA,NA
"73",2020,63.45,"Colorado","2","Incumbent",NA,NA
"74",2020,46.8,"Colorado","3","Challenger",NA,NA
"75",2020,37.85,"Colorado","4","Challenger",NA,NA
"76",2020,39.36,"Colorado","5","Challenger",NA,NA
"77",2020,58.83,"Colorado","6","Incumbent",NA,NA
"78",2020,61.13,"Colorado","7","Incumbent",NA,NA
"79",2020,64.58,"Connecticut","1","Incumbent",NA,NA
"80",2020,60.85,"Connecticut","2","Incumbent",NA,NA
"81",2020,59.63,"Connecticut","3","Incumbent",NA,NA
"82",2020,63.21,"Connecticut","4","Incumbent",NA,NA
"83",2020,55.88,"Connecticut","5","Incumbent",NA,NA
"84",2020,58.89,"Delaware","0","Incumbent",NA,NA
"85",2020,34.49,"Florida","1","Challenger",NA,NA
"86",2020,42.86,"Florida","3","Challenger",NA,NA
"87",2020,38.9,"Florida","4","Challenger",NA,NA
"88",2020,65.13,"Florida","5","Incumbent",NA,NA
"89",2020,39.37,"Florida","6","Challenger",NA,NA
"90",2020,56.14,"Florida","7","Incumbent",NA,NA
"91",2020,38.65,"Florida","8","Challenger",NA,NA
"92",2020,56.03,"Florida","9","Incumbent",NA,NA
"93",2020,63.62,"Florida","10","Incumbent",NA,NA
"94",2020,33.28,"Florida","11","Challenger",NA,NA
"95",2020,37.12,"Florida","12","Challenger",NA,NA
"96",2020,53.04,"Florida","13","Incumbent",NA,NA
"97",2020,60.26,"Florida","14","Incumbent",NA,NA
"98",2020,44.61,"Florida","15","Challenger",NA,NA
"99",2020,44.5,"Florida","16","Challenger",NA,NA
"100",2020,34.52,"Florida","17","Challenger",NA,NA
"101",2020,42.43,"Florida","18","Challenger",NA,NA
"102",2020,38.72,"Florida","19","Challenger",NA,NA
"103",2020,78.68,"Florida","20","Incumbent",NA,NA
"104",2020,60.15,"Florida","21","Incumbent",NA,NA
"105",2020,58.6,"Florida","22","Incumbent",NA,NA
"106",2020,58.2,"Florida","23","Incumbent",NA,NA
"107",2020,78.74,"Florida","24","Incumbent",NA,NA
"108",2020,48.28,"Florida","26","Incumbent",NA,NA
"109",2020,48.63,"Florida","27","Incumbent",NA,NA
"110",2020,41.65,"Georgia","1","Challenger",NA,NA
"111",2020,59.12,"Georgia","2","Incumbent",NA,NA
"112",2020,34.95,"Georgia","3","Challenger",NA,NA
"113",2020,80.08,"Georgia","4","Incumbent",NA,NA
"114",2020,85.15,"Georgia","5","Challenger",NA,NA
"115",2020,54.59,"Georgia","6","Incumbent",NA,NA
"116",2020,51.39,"Georgia","7","Challenger",NA,NA
"117",2020,35.48,"Georgia","8","Challenger",NA,NA
"118",2020,21.42,"Georgia","9","Challenger",NA,NA
"119",2020,37.69,"Georgia","10","Challenger",NA,NA
"120",2020,39.57,"Georgia","11","Challenger",NA,NA
"121",2020,41.62,"Georgia","12","Challenger",NA,NA
"122",2020,77.4,"Georgia","13","Incumbent",NA,NA
"123",2020,25.29,"Georgia","14","Challenger",NA,NA
"124",2020,72.02,"Hawaii","1","Incumbent",NA,NA
"125",2020,67.12,"Hawaii","2","Challenger",NA,NA
"126",2020,29.72,"Idaho","1","Challenger",NA,NA
