"","...1.x","year","AreaAll","R_seats","D_seats","Other_seats","total_votes","R_votes","D_votes","Other_votes","winning_vote_margin","winner_party","R_totalvote_pct","D_totalvote_pct","Other_totalvote_pct","R_majorvote_pct","D_majorvote_pct","president_party","H_incumbent_party_winner","H_incumbent_party_majorvote_pct","H_incumbent_party","1","2","3","4","5","6","7","8","9","10","11","12","cpi_change","...1.y","date.x","quarter_yr.x","quarter_cycle.x","year_qt.x","DSPIC_qt","DSPIC_change_qt","DSPIC_change_pct","...1.x.x","...2.x","DATE","UNRATE","quarter_yr.y","quarter_cycle.y","year_qt.y","unrate_qt_total","...1.y.y","...2.y","date.y","GDPC1","quarter_yr","quarter_cycle","year_qt","GDP_growth_qt","GDP_growth_pct","incumbent_margin"
"1",1,1948,"United State",171,263,17,49560252,21613079,24762972,3184201,3149893,"D",43.61,49.97,6.42,46.6,53.4,"D",FALSE,46.6,"R",23.68,23.67,23.5,23.82,24.01,24.15,24.4,24.43,24.36,24.31,24.16,24.05,0.210000000000001,NA,NA,NA,NA,NA,NA,NA,NA,4,10,"10/1/48",3.7,4,4,"1948_4",11.5,8,8,"10/1/48",2134.981,4,8,"1948_8",2.383,0.111741641,-6.8
"2",2,1950,"United State",199,234,16,44050445,20925177,20681636,2443632,243541,"R",47.5,46.95,5.55,50.29,49.71,"D",FALSE,49.71,"D",23.51,23.61,23.64,23.65,23.77,23.88,24.07,24.2,24.34,24.5,24.6,24.98,0.460000000000001,NA,NA,NA,NA,NA,NA,NA,NA,12,34,"10/1/50",4.2,4,4,"1950_4",12.7,16,16,"10/1/50",2383.291,4,8,"1950_8",44.777,1.914762965,-0.579999999999998
"3",3,1952,"United State",221,213,19,61803866,28860092,30255614,2688160,1395522,"D",46.7,48.95,4.35,48.82,51.18,"R",FALSE,48.82,"R",26.45,26.41,26.39,26.46,26.47,26.53,26.68,26.69,26.63,26.69,26.69,26.71,0.0999999999999979,NA,NA,NA,NA,NA,NA,NA,NA,20,58,"10/1/52",3,4,4,"1952_4",8.5,24,24,"10/1/52",2648.621,4,8,"1952_8",84.22,3.284197752,-2.36
"4",4,1954,"United State",203,232,7,45251283,21092608,23223158,935517,2130550,"D",46.61,51.32,2.07,47.6,52.4,"R",TRUE,52.4,"D",26.94,26.99,26.93,26.86,26.93,26.94,26.86,26.85,26.81,26.72,26.78,26.77,-0.130000000000003,NA,NA,NA,NA,NA,NA,NA,NA,28,82,"10/1/54",5.7,4,4,"1954_4",16,32,32,"10/1/54",2735.091,4,8,"1954_8",52.49,1.956683085,4.8
"5",5,1956,"United State",201,234,9,62457894,29829376,31354867,1273651,1525491,"D",47.76,50.2,2.04,48.75,51.25,"R",TRUE,51.25,"D",26.83,26.86,26.89,26.93,27.03,27.15,27.29,27.31,27.35,27.51,27.51,27.63,0.200000000000003,NA,NA,NA,NA,NA,NA,NA,NA,36,106,"10/1/56",3.9,4,4,"1956_4",12.4,40,40,"10/1/56",2973.179,4,8,"1956_8",48.144,1.645929023,2.5
"6",6,1958,"United State",153,283,11,46851436,20435025,24943266,1473145,4508241,"D",43.62,53.24,3.14,45.03,54.97,"R",TRUE,54.97,"D",28.64,28.7,28.87,28.94,28.94,28.91,28.89,28.94,28.91,28.91,28.95,28.97,0,NA,NA,NA,NA,NA,NA,NA,NA,44,130,"10/1/58",6.7,4,4,"1958_4",19.1,48,48,"10/1/58",3063.085,4,8,"1958_8",70.017,2.339305355,9.94
"7",7,1960,"United State",175,262,5,65678881,29445993,35060186,1172702,5614193,"D",44.83,53.38,1.79,45.65,54.35,"D",TRUE,54.35,"D",29.37,29.41,29.41,29.54,29.57,29.61,29.55,29.61,29.61,29.75,29.78,29.81,0,8,"10/1/60",4,8,"1960_8",6864.1,-2.9,-0.04223096,52,154,"10/1/60",6.1,4,4,"1960_4",18.8,56,56,"10/1/60",3232.009,4,8,"1960_8",-42.02,-1.283433959,8.7
"8",8,1962,"United State",176,258,5,62760124,29161465,32713542,885117,3552077,"D",46.46,52.12,1.41,47.13,52.87,"D",TRUE,52.87,"D",30.04,30.11,30.17,30.21,30.24,30.21,30.22,30.28,30.42,30.38,30.38,30.38,0.210000000000001,16,"10/1/62",4,8,"1962_8",7523.7,66.1,0.886344132,60,178,"10/1/62",5.4,4,4,"1962_4",16.6,64,64,"10/1/62",3586.827,4,8,"1962_8",11.757,0.328860694,5.73999999999999
"9",9,1964,"United State",140,295,4,73565373,30997556,41545599,1022218,10548043,"D",42.14,56.47,1.39,42.73,57.27,"D",TRUE,57.27,"D",30.94,30.91,30.94,30.95,30.98,31.01,31.02,31.05,31.08,31.12,31.21,31.25,0.0699999999999967,24,"10/1/64",4,8,"1964_8",8441.6,95.1,1.139399748,68,202,"10/1/64",5.1,4,4,"1964_4",14.9,72,72,"10/1/64",3966.335,4,8,"1964_8",12.214,0.308892925,14.54
"10",10,1966,"United State",187,248,3,53199376,25700061,26596037,903278,895976,"D",48.31,49.99,1.7,49.14,50.86,"D",TRUE,50.86,"D",31.88,32.08,32.18,32.28,32.35,32.38,32.45,32.65,32.75,32.85,32.88,32.92,0.369999999999997,32,"10/1/66",4,8,"1966_8",9386.5,108.7,1.17161396,76,226,"10/1/66",3.7,4,4,"1966_4",11.1,80,80,"10/1/66",4495.777,4,8,"1966_8",36.582,0.820372287,1.72
"11",11,1968,"United State",192,243,0,66455377,32183586,33395717,876074,1212131,"D",48.43,50.25,1.32,49.08,50.92,"R",TRUE,50.92,"D",34.1,34.2,34.3,34.4,34.5,34.7,34.9,35,35.1,35.3,35.4,35.6,0.399999999999999,40,"10/1/68",4,8,"1968_8",10202.6,78.2,0.77239145,84,250,"10/1/68",3.4,4,4,"1968_4",10.2,88,88,"10/1/68",4844.779,4,8,"1968_8",18.98,0.393302746,1.84
"12",12,1970,"United State",180,255,0,54147415,24414855,28921540,811020,4506685,"D",45.09,53.41,1.5,45.78,54.22,"R",TRUE,54.22,"D",37.9,38.1,38.3,38.5,38.6,38.8,38.9,39,39.2,39.4,39.6,39.8,0.400000000000006,48,"10/1/70",4,8,"1970_8",11010.3,-26.5,-0.240105828,92,274,"10/1/70",5.5,4,4,"1970_4",17.5,96,96,"10/1/70",4935.693,4,8,"1970_8",-53.466,-1.071643538,8.44
"13",13,1972,"United State",192,242,1,71254917,33160947,37120058,973912,3959111,"D",46.54,52.09,1.37,47.18,52.82,"R",TRUE,52.82,"D",41.2,41.4,41.4,41.5,41.6,41.7,41.8,41.9,42.1,42.2,42.4,42.5,0.399999999999999,56,"10/1/72",4,8,"1972_8",12469.7,480.5,4.007773663,100,298,"10/1/72",5.6,4,4,"1972_4",16.1,104,104,"10/1/72",5506.396,4,8,"1972_8",90.684,1.674461271,5.64
"14",14,1974,"United State",144,291,0,52324462,21286921,30089520,948021,8802599,"D",40.68,57.51,1.81,41.43,58.57,"R",TRUE,58.57,"D",46.8,47.3,47.8,48.1,48.6,49,49.3,49.9,50.6,51,51.5,51.9,1.6,64,"10/1/74",4,8,"1974_8",12530,-17,-0.135490556,108,322,"10/1/74",6,4,4,"1974_4",19.8,112,112,"10/1/74",5616.526,4,8,"1974_8",-21.885,-0.388141269,17.14
"15",15,1976,"United State",143,292,0,74256718,31241822,41742193,1272703,10500371,"D",42.07,56.21,1.71,42.81,57.19,"D",TRUE,57.19,"D",55.8,55.9,56,56.1,56.4,56.7,57,57.3,57.6,57.9,58.1,58.4,0.899999999999999,72,"10/1/76",4,8,"1976_8",13420.4,84.7,0.635137263,116,346,"10/1/76",7.7,4,4,"1976_4",23.3,120,120,"10/1/76",6008.504,4,8,"1976_8",43.239,0.724846256,14.38
"16",16,1978,"United State",158,277,0,55261245,24891165,29587800,782280,4696635,"D",45.04,53.54,1.42,45.69,54.31,"D",TRUE,54.31,"D",62.7,63,63.4,63.9,64.5,65,65.5,65.9,66.5,67.1,67.5,67.9,1.5,80,"10/1/78",4,8,"1978_8",14494.2,94.8,0.658360765,124,370,"10/1/78",5.8,4,4,"1978_4",17.7,128,128,"10/1/78",6729.755,4,8,"1978_8",89.258,1.344146379,8.62
"17",17,1980,"United State",192,242,1,77865321,37320299,39289061,1255961,1968762,"D",47.93,50.46,1.61,48.72,51.28,"R",TRUE,51.28,"D",78,79,80.1,80.9,81.7,82.5,82.6,83.2,83.9,84.7,85.6,86.4,1.40000000000001,88,"10/1/80",4,8,"1980_8",14916,202.5,1.376287083,132,394,"10/1/80",7.5,4,4,"1980_4",22.2,136,136,"10/1/80",6813.535,4,8,"1980_8",124.741,1.864925127,2.56
"18",18,1982,"United State",166,269,1,64362196,27796580,35588614,977002,7792034,"D",43.19,55.29,1.52,43.85,56.15,"R",TRUE,56.15,"D",94.4,94.7,94.7,95,95.9,97,97.5,97.7,97.7,98.1,98,97.7,0.700000000000003,96,"10/1/82",4,8,"1982_8",15502.5,48.5,0.313834606,140,418,"10/1/82",10.4,4,4,"1982_4",32,144,144,"10/1/82",6802.497,4,8,"1982_8",2.716,0.039942463,12.3
"19",19,1984,"United State",182,253,0,82995246,38894020,43371948,729278,4477928,"D",46.86,52.26,0.88,47.28,52.72,"R",TRUE,52.72,"D",102.1,102.6,102.9,103.3,103.5,103.7,104.1,104.4,104.7,105.1,105.3,105.5,1,104,"10/1/84",4,8,"1984_8",17317.4,140.2,0.816198216,148,442,"10/1/84",7.4,4,4,"1984_4",21.9,152,152,"10/1/84",7749.151,4,8,"1984_8",63.092,0.820862811,5.44
"20",20,1986,"United State",177,258,0,59899733,26599585,32758176,541972,6158591,"D",44.41,54.69,0.9,44.81,55.19,"R",TRUE,55.19,"D",109.9,109.7,109.1,108.7,109,109.4,109.5,109.6,110,110.2,110.4,110.8,0.599999999999994,112,"10/1/86",4,8,"1986_8",18346.4,27.7,0.151211603,156,466,"10/1/86",7,4,4,"1986_4",20.5,160,160,"10/1/86",8308.021,4,8,"1986_8",44.382,0.537075736,10.38
"21",21,1988,"United State",175,260,0,82022316,37305980,43793276,923060,6487296,"D",45.48,53.39,1.13,46,54,"R",TRUE,54,"D",116,116.2,116.5,117.2,117.5,118,118.5,119,119.5,119.9,120.3,120.7,1.5,120,"10/1/88",4,8,"1988_8",19769.6,185,0.944619752,164,490,"10/1/88",5.4,4,4,"1988_4",16,168,168,"10/1/88",9009.913,4,8,"1988_8",118.478,1.332495823,8
"22",22,1990,"United State",167,267,1,62407173,28052184,33052166,1302823,4999982,"D",44.95,52.96,2.09,45.91,54.09,"R",TRUE,54.09,"D",127.5,128,128.6,128.9,129.1,129.9,130.5,131.6,132.5,133.4,133.7,134.2,2.59999999999999,128,"10/1/90",4,8,"1990_8",20352.9,-175.5,-0.854913193,172,514,"10/1/90",5.9,4,4,"1990_4",18.4,176,176,"10/1/90",9312.937,4,8,"1990_8",-85.562,-0.910379413,8.18000000000001
"23",23,1992,"United State",176,258,1,95216606,43257458,48511831,3447317,5254373,"D",45.43,50.95,3.62,47.14,52.86,"D",TRUE,52.86,"D",138.3,138.6,139.1,139.4,139.7,140.1,140.5,140.8,141.1,141.7,142.1,142.3,1,136,"10/1/92",4,8,"1992_8",21635,97.6,0.453165192,180,538,"10/1/92",7.3,4,4,"1992_4",22.1,184,184,"10/1/92",9834.51,4,8,"1992_8",101.531,1.043164688,5.72
"24",24,1994,"United State",230,204,1,70763202,37099921,32124517,1538764,4975404,"R",52.43,45.4,2.17,53.59,46.41,"D",FALSE,46.41,"D",146.3,146.7,147.1,147.2,147.5,147.9,148.4,149,149.3,149.4,149.8,150.1,1.40000000000001,144,"10/1/94",4,8,"1994_8",22773.8,322,1.434183451,188,562,"10/1/94",5.8,4,4,"1994_4",16.9,192,192,"10/1/94",10506.372,4,8,"1994_8",118.99,1.145524445,-7.18000000000001
"25",25,1996,"United State",226,207,2,88217606,42842236,43110112,2265258,267876,"D",48.56,48.87,2.57,49.84,50.16,"D",FALSE,49.84,"R",154.7,155,155.5,156.1,156.4,156.7,157,157.2,157.7,158.2,158.7,159.1,1,152,"10/1/96",4,8,"1996_8",24139.1,128,0.533086781,196,586,"10/1/96",5.2,4,4,"1996_4",16,200,200,"10/1/96",11212.205,4,8,"1996_8",115.229,1.038381988,-0.319999999999993
"26",26,1998,"United State",223,211,1,65896772,32254557,31482036,2160179,772521,"R",48.95,47.77,3.28,50.61,49.39,"D",FALSE,49.39,"D",162,162,162,162.2,162.6,162.8,163.2,163.4,163.5,163.9,164.1,164.4,0.699999999999989,160,"10/1/98",4,8,"1998_8",26598.6,209,0.791978658,204,610,"10/1/98",4.5,4,4,"1998_4",13.3,208,208,"10/1/98",12287,4,8,"1998_8",195.386,1.615880229,-1.22
"27",27,2000,"United State",221,212,2,97226268,46954281,46520851,3751136,433430,"R",48.29,47.85,3.86,50.23,49.77,"R",TRUE,50.23,"R",169.3,170,171,170.9,171.2,172.2,172.7,172.7,173.6,173.9,174.2,174.6,1.40000000000001,168,"10/1/00",4,8,"2000_8",28757.2,102.3,0.357007004,212,634,"10/1/00",3.9,4,4,"2000_4",11.7,216,216,"10/1/00",13260.506,4,8,"2000_8",82.087,0.622889589,0.459999999999994
"28",28,2002,"United State",229,204,1,73449133,37387921,33758288,2302924,3629633,"R",50.9,45.96,3.14,52.55,47.45,"R",TRUE,52.55,"R",177.7,178,178.5,179.3,179.5,179.6,180,180.5,180.8,181.2,181.5,181.8,1.20000000000002,176,"10/1/02",4,8,"2002_8",30275.5,178.7,0.593750831,220,658,"10/1/02",5.7,4,4,"2002_4",17.6,224,224,"10/1/02",13559.032,4,8,"2002_8",20.96,0.154822636,5.09999999999999
"29",29,2004,"United State",232,202,1,111619190,55956623,52971423,2691144,2985200,"R",50.13,47.46,2.41,51.37,48.63,"R",TRUE,51.37,"R",186.3,186.7,187.1,187.4,188.2,188.9,189.1,189.2,189.8,190.8,191.7,191.7,0.900000000000006,184,"10/1/04",4,8,"2004_8",32434.6,404.1,1.261610028,228,682,"10/1/04",5.5,4,4,"2004_4",16.3,232,232,"10/1/04",14609.876,4,8,"2004_8",144.892,1.001674112,2.73999999999999
"30",30,2006,"United State",202,233,0,80051355,35884573,42281320,1885462,6396747,"D",44.83,52.82,2.36,45.91,54.09,"R",FALSE,45.91,"R",199.3,199.4,199.7,200.7,201.3,201.8,202.9,203.8,202.8,201.9,202,203.1,1,192,"10/1/06",4,8,"2006_8",34122.9,444.5,1.319837047,236,706,"10/1/06",4.4,4,4,"2006_4",13.3,240,240,"10/1/06",15456.928,4,8,"2006_8",130.56,0.85186523,-8.18000000000001
"31",31,2008,"United State",178,256,0,120720320,52187151,65247248,3285921,13060097,"D",43.23,54.05,2.72,44.44,55.56,"D",TRUE,55.56,"D",212.174,212.687,213.448,213.942,215.208,217.463,219.016,218.69,218.877,216.995,213.153,211.398,1.41400000000002,200,"10/1/08",4,8,"2008_8",34845.9,301.8,0.873665836,244,730,"10/1/08",6.5,4,4,"2008_4",20.6,248,248,"10/1/08",15328.027,4,8,"2008_8",-339.005,-2.163811244,11.12
"32",32,2010,"United State",242,193,0,83583446,43288427,37663261,2631758,5625166,"R",51.79,45.06,3.15,53.47,46.53,"D",FALSE,46.53,"D",217.488,217.281,217.353,217.403,217.29,217.199,217.605,217.923,218.275,219.035,219.59,220.472,1.07599999999999,208,"10/1/10",4,8,"2010_8",35884.6,199.9,0.560184056,252,754,"10/1/10",9.4,4,4,"2010_4",28.5,256,256,"10/1/10",15750.625,4,8,"2010_8",78.658,0.501902537,-6.94
